unit_id,barrage_id,boost_id,hit_check_order
1003,1,0,11111
1003,1,1,1212111
1003,1,2,12412131314
1003,1,3,124125135136146
1003,2,0,1111
1003,2,1,12111
1003,2,2,1213141
1003,2,3,1213146156
1003,3,0,11111111111111
1003,3,1,121212121111111111
1003,3,2,1212121213131313111111
1003,3,3,121212121313135135145146146146156156
1003,4,0,11
1003,4,1,1212
1003,4,2,123123
1003,4,3,123456123456
1003,7,0,111111111111111111
1003,7,1,121212111111111111111
1003,7,2,121212131313111111111111
1003,7,3,121212131313141414115151511161616
1004,1,0,11111
1004,1,1,1212111
1004,1,2,12412131314
1004,1,3,124125135136146
1004,2,0,11
1004,2,1,121
1004,2,2,12314
1004,2,3,12361456
1004,3,0,1111111111
1004,3,1,121211111111
1004,3,2,1212131314141111
1004,3,3,12121313141415151616
1004,4,0,111111
1004,4,1,1211111
1004,4,2,121314111
1004,4,3,12131411516
1004,7,0,111111111111111
1004,7,1,121212111111111111
1004,7,2,1212121113131141411111
1004,7,3,12121211131311414151511616
1006,1,0,11111111
1006,1,1,1212111111
1006,1,2,121213131111
1006,1,3,121213131414156156
1006,2,0,11111
1006,2,1,1212111
1006,2,2,121213131
1006,2,3,124125135136146
1006,3,0,1111111111111
1006,3,1,12121211313111414111
1006,3,2,121212113131114141151
1006,3,3,1212121131311141411516
1006,4,0,111111111
1006,4,1,1212113114111
1006,4,2,12121131141151
1006,4,3,121211311411516
1006,7,0,11111
1006,7,1,12131411
1006,7,2,121314151
1006,7,3,1213141516
1007,1,0,1111111
1007,1,1,121211111
1007,1,2,12121313111
1007,1,3,12121313145146156
1007,2,0,111
1007,2,1,1211
1007,2,2,121313
1007,2,3,124513461356
1007,3,0,1111111111111
1007,3,1,12121313111111111
1007,3,2,1212131311141115111
1007,3,3,12121313111411151116
1007,4,0,111111111
1007,4,1,1212131311111
1007,4,2,121213131141151
1007,4,3,1212131311411516
1007,7,0,1111111111111
1007,7,1,1212121213131313141414141
1007,7,2,1212121213131313145145141415
1007,7,3,1212121213131313145145146146156
1008,1,0,11111
1008,1,1,1213111
1008,1,2,121314151
1008,1,3,1213141516
1008,2,0,11
1008,2,1,1213
1008,2,2,124135
1008,2,3,1241356
1008,3,0,1111111111111
1008,3,1,12121313111111111
1008,3,2,1212131311141115111
1008,3,3,12121313111411151116
1008,4,0,11111
1008,4,1,1213111
1008,4,2,121314151
1008,4,3,1213141516
1008,7,0,1111111111111111
1008,7,1,1212121313131111111111
1008,7,2,12121213131311411411511511
1008,7,3,121212131313114114115115116
1009,1,0,1111111
1009,1,1,121211111
1009,1,2,1212131314141
1009,1,3,12121313145146156
1009,2,0,111
1009,2,1,1211
1009,2,2,12413413
1009,2,3,124513461356
1009,3,0,11111111111111
1009,3,1,1212111111111111
1009,3,2,121211131311111111
1009,3,3,121211131314141151511616
1009,4,0,11111111
1009,4,1,121111111
1009,4,2,1213111111
1009,4,3,1213114115116
1009,7,0,111111111111111111
1009,7,1,112112112111111111111
1009,7,2,112112112131313111111111
1009,7,3,112112112131313141414151515161616
1010,1,0,11111
1010,1,1,121213131
1010,1,2,1241251351314
1010,1,3,124125135136146
1010,2,0,11
1010,2,1,1213
1010,2,2,12451345
1010,2,3,1245613456
1010,3,0,111111111111111
1010,3,1,121121121131131131111
1010,3,2,121121121131131131414151
1010,3,3,1211211211311311314141516
1010,4,0,11111111
1010,4,1,121213131111
1010,4,2,1212131314141515
